term,var_type_abb,coverage,avg_width,std.error.avg_width,std.error.coverage,B
x,sub,0.9336,1.7444261958217124,0.00279166470718041,0.003521461079953536,50
x,emp,0.946,1.8069236815590255,0.0026228580326966306,0.00319669262969616,60
x,sub,0.9346,1.7424114225727916,0.002593976513668244,0.003496714658458785,60
x,emp,0.9484,1.8147418992098137,0.002465605423345603,0.0031288090208860357,70
x,sub,0.9388,1.7491926340262511,0.0024408888706641844,0.003390163807565709,70
x,emp,0.9484,1.8079962914714052,0.002246465591171005,0.0031288090208860357,80
x,sub,0.9366,1.748099767761104,0.0022832263214449633,0.0034465147167448084,80
x,emp,0.9476,1.8153386116009396,0.0022740046370158377,0.003151639980536067,90
x,sub,0.938,1.750342150335737,0.0022148043601882762,0.003410795611780493,90
x,emp,0.9476,1.811654129258212,0.0021180362081242472,0.003151639980536067,100
x,sub,0.941,1.7505418226443188,0.0021154542492564108,0.003332569759846123,100
